,addr,code,created_at,lat,lng,name,remain_stat,stock_at,type
104,대전광역시 동구 계족로 171 1층 102호 (대동),34840508,2020/04/01 11:30:00,36.3290285,127.4428665,메디컬대동약국,plenty,2020/04/01 10:23:00,01
105,대전광역시 동구 한남로 13-1 (홍도동),34840516,2020/04/01 11:30:00,36.3510767,127.4265638,한남약국(한약국),empty,2020/03/31 11:56:00,01
106,"대전광역시 동구 옥천로 183 1층 119,120,121,122호 (판암동)",34840605,2020/04/01 11:30:00,36.3179341,127.460282,판암제일약국,break,2020/03/31 10:48:00,01
107,대전광역시 동구 계족로140번길 178 1층 (용운동),34840681,2020/04/01 11:30:00,36.3281063,127.4539627,정약국,break,2020/03/31 12:56:00,01
108,대전광역시 동구 대전로 786-1 (원동),34840893,2020/04/01 11:30:00,36.3298444,127.4336551,금강약국,plenty,2020/04/01 07:11:00,01
109,대전광역시 동구 현암로 24 (삼성동),34841008,2020/04/01 11:30:00,36.3427293,127.4201492,늘사랑약국,plenty,2020/04/01 10:03:00,01
110,대전광역시 동구 동구청로 205 1층 (판암동),34841067,2020/04/01 11:30:00,36.3161689,127.4561773,기쁜우리약국,plenty,2020/04/01 09:04:00,01
111,대전광역시 동구 대전로542번길 80-57 어울림타워 102호 (천동),34841075,2020/04/01 11:30:00,36.3161998,127.4468168,행복약국,empty,2020/04/01 11:02:00,01
112,대전광역시 동구 동서대로 1641 아남빌딩 별관 1층 (용전동),34841776,2020/04/01 11:30:00,36.3479322,127.4324003,아남메디컬약국,plenty,2020/03/31 12:46:00,01
113,대전광역시 동구 계족로 37 1층 (효동),34841938,2020/04/01 11:30:00,36.3182071,127.4420297,영성일약국,some,2020/03/31 10:05:00,01
114,"대전광역시 동구 대전로 664 203호 (인동, 현대아파트)",34842551,,36.3196576,127.4397209,연령한약국,,,01
115,대전광역시 동구 동대전로46번길 11 101호 (대동),34842781,2020/04/01 11:30:00,36.3279168,127.4403164,더드림약국,plenty,2020/04/01 10:15:00,01
116,대전광역시 동구 동대전로 270 (가양동),34843035,2020/04/01 11:30:00,36.3452114,127.4463048,다사랑약국,plenty,2020/04/01 08:51:00,01
117,대전광역시 동구 곤룡로 6 (낭월동),34843256,2020/04/01 11:30:00,36.279902,127.4685912,낭월우리약국,break,2020/03/31 13:58:00,01
118,대전광역시 동구 은어송로 63 글로리타워 투 105호 (가오동),34843299,2020/04/01 11:30:00,36.3066737,127.4560317,스마일약국,plenty,2020/04/01 10:23:00,01
119,대전광역시 동구 동대전로 90 (대동),34843370,2020/04/01 11:30:00,36.3304171,127.4438288,건강제일약국,plenty,2020/04/01 10:38:00,01
120,대전광역시 동구 동서대로1695번길 4 1층 (용전동),34843485,2020/04/01 11:30:00,36.3499328,127.438075,마음약국,plenty,2020/04/01 10:30:00,01
121,대전광역시 동구 동부로 75 (판암동),34843515,2020/04/01 11:30:00,36.3223909,127.4608542,판암미소약국,plenty,2020/03/31 12:34:00,01
122,대전광역시 동구 산내로 1324 (낭월동),3058221283,2020/04/01 11:30:00,36.2815988,127.4678711,산내농협하나로마트,break,2020/03/31 13:56:00,03
123,"대전광역시 동구 계족로 63 (인동,동대전농협)",3068200748,2020/04/01 11:30:00,36.3202896,127.443043,동대전농협하나로마트,empty,2020/03/31 13:05:00,03
